benefit_county_fips,nonbenefit_county_fips,benefit_state,nonbenefit_state,benefit_county_name,nonbenefit_county_name,state_pair,border_segment_id,weight_equal,weight_neighbor_adjusted,pair_id
06025,04012,CA,AZ,"Imperial County, CA","La Paz County, AZ",AZ-CA,1,1.0,1.0,04012_06025
06065,04012,CA,AZ,"Riverside County, CA","La Paz County, AZ",AZ-CA,1,1.0,1.0,04012_06065
06071,04012,CA,AZ,"San Bernardino County, CA","La Paz County, AZ",AZ-CA,1,1.0,1.0,04012_06071
08083,04001,CO,AZ,"Montezuma County, CO","Apache County, AZ",AZ-CO,2,1.0,1.0,04001_08083
27099,19089,MN,IA,"Mower County, MN","Howard County, IA",IA-MN,14,1.0,1.0,19089_27099
27105,19119,MN,IA,"Nobles County, MN","Lyon County, IA",IA-MN,14,1.0,1.0,19119_27105
24015,10003,MD,DE,"Cecil County, MD","New Castle County, DE",DE-MD,11,1.0,1.0,10003_24015
24029,10001,MD,DE,"Kent County, MD","Kent County, DE",DE-MD,11,1.0,1.0,10001_24029
24011,10001,MD,DE,"Caroline County, MD","Kent County, DE",DE-MD,11,1.0,1.0,10001_24011
27047,19189,MN,IA,"Freeborn County, MN","Winnebago County, IA",IA-MN,14,1.0,1.0,19189_27047
27031,26083,MN,MI,"Cook County, MN","Keweenaw County, MI",MI-MN,28,1.0,1.0,26083_27031
27043,19109,MN,IA,"Faribault County, MN","Kossuth County, IA",IA-MN,14,1.0,1.0,19109_27043
24019,10005,MD,DE,"Dorchester County, MD","Sussex County, DE",DE-MD,11,1.0,1.0,10005_24019
24035,10001,MD,DE,"Queen Anne's County, MD","Kent County, DE",DE-MD,11,1.0,1.0,10001_24035
24045,10005,MD,DE,"Wicomico County, MD","Sussex County, DE",DE-MD,11,1.0,1.0,10005_24045
27045,19089,MN,IA,"Fillmore County, MN","Howard County, IA",IA-MN,14,1.0,1.0,19089_27045
24047,10005,MD,DE,"Worcester County, MD","Sussex County, DE",DE-MD,11,1.0,1.0,10005_24047
27133,19119,MN,IA,"Rock County, MN","Lyon County, IA",IA-MN,14,1.0,1.0,19119_27133
27091,19063,MN,IA,"Martin County, MN","Emmet County, IA",IA-MN,14,1.0,1.0,19063_27091
27063,19059,MN,IA,"Jackson County, MN","Dickinson County, IA",IA-MN,14,1.0,1.0,19059_27063
27055,19005,MN,IA,"Houston County, MN","Allamakee County, IA",IA-MN,14,1.0,1.0,19005_27055
49023,32033,UT,NV,"Juab County, UT","White Pine County, NV",NV-UT,36,1.0,1.0,32033_49023
49021,32017,UT,NV,"Iron County, UT","Lincoln County, NV",NV-UT,36,1.0,1.0,32017_49021
49005,16007,UT,ID,"Cache County, UT","Bear Lake County, ID",ID-UT,16,1.0,1.0,16007_49005
49003,16031,UT,ID,"Box Elder County, UT","Cassia County, ID",ID-UT,16,1.0,1.0,16031_49003
49037,04001,UT,AZ,"San Juan County, UT","Apache County, AZ",AZ-UT,4,1.0,1.0,04001_49037
50005,33009,VT,NH,"Caledonia County, VT","Grafton County, NH",NH-VT,32,1.0,1.0,33009_50005
50027,33009,VT,NH,"Windsor County, VT","Grafton County, NH",NH-VT,32,1.0,1.0,33009_50027
50017,33009,VT,NH,"Orange County, VT","Grafton County, NH",NH-VT,32,1.0,1.0,33009_50017
50009,33007,VT,NH,"Essex County, VT","Coos County, NH",NH-VT,32,1.0,1.0,33007_50009
49045,32007,UT,NV,"Tooele County, UT","Elko County, NV",NV-UT,36,1.0,1.0,32007_49045
49053,04015,UT,AZ,"Washington County, UT","Mohave County, AZ",AZ-UT,4,1.0,1.0,04015_49053
53003,16069,WA,ID,"Asotin County, WA","Nez Perce County, ID",ID-WA,17,1.0,1.0,16069_53003
53075,16009,WA,ID,"Whitman County, WA","Benewah County, ID",ID-WA,17,1.0,1.0,16009_53075
53063,16009,WA,ID,"Spokane County, WA","Benewah County, ID",ID-WA,17,1.0,1.0,16009_53063
35031,04001,NM,AZ,"McKinley County, NM","Apache County, AZ",AZ-NM,3,1.0,1.0,04001_35031
35045,04001,NM,AZ,"San Juan County, NM","Apache County, AZ",AZ-NM,3,1.0,1.0,04001_35045
41063,16003,OR,ID,"Wallowa County, OR","Adams County, ID",ID-OR,15,1.0,1.0,16003_41063
41045,16027,OR,ID,"Malheur County, OR","Canyon County, ID",ID-OR,15,1.0,1.0,16027_41045
41025,32013,OR,NV,"Harney County, OR","Humboldt County, NV",NV-OR,35,1.0,1.0,32013_41025
41001,16003,OR,ID,"Baker County, OR","Adams County, ID",ID-OR,15,1.0,1.0,16003_41001
34009,10001,NJ,DE,"Cape May County, NJ","Kent County, DE",DE-NJ,12,1.0,1.0,10001_34009
34011,10001,NJ,DE,"Cumberland County, NJ","Kent County, DE",DE-NJ,12,1.0,1.0,10001_34011
34015,10003,NJ,DE,"Gloucester County, NJ","New Castle County, DE",DE-NJ,12,1.0,1.0,10003_34015
34033,10001,NJ,DE,"Salem County, NJ","Kent County, DE",DE-NJ,12,1.0,1.0,10001_34033
35003,04001,NM,AZ,"Catron County, NM","Apache County, AZ",AZ-NM,3,1.0,1.0,04001_35003
35006,04001,NM,AZ,"Cibola County, NM","Apache County, AZ",AZ-NM,3,1.0,1.0,04001_35006
35017,04011,NM,AZ,"Grant County, NM","Greenlee County, AZ",AZ-NM,3,1.0,1.0,04011_35017
53051,16017,WA,ID,"Pend Oreille County, WA","Bonner County, ID",ID-WA,17,1.0,1.0,16017_53051
49001,32017,UT,NV,"Beaver County, UT","Lincoln County, NV",NV-UT,36,1.0,1.0,32017_49001
