year,state,state_po,county_fips,county_name,votes_dem,votes_gop,total_votes,per_dem,per_gop,dem_two_party
2000,ALABAMA,AL,01001,AUTAUGA,4942,11993,16935,29.18,70.82,0.2918
2000,ALABAMA,AL,01003,BALDWIN,13997,40872,54869,25.51,74.49,0.2551
2000,ALABAMA,AL,01005,BARBOUR,5188,5096,10284,50.45,49.55,0.5045
2000,ALABAMA,AL,01007,BIBB,2710,4273,6983,38.81,61.19,0.3881
2000,ALABAMA,AL,01009,BLOUNT,4977,12667,17644,28.21,71.79,0.2821
2000,ALABAMA,AL,01011,BULLOCK,3395,1433,4828,70.32,29.68,0.7032
2000,ALABAMA,AL,01013,BUTLER,3606,4127,7733,46.63,53.37,0.4663
2000,ALABAMA,AL,01015,CALHOUN,15781,22306,38087,41.43,58.57,0.4143
2000,ALABAMA,AL,01017,CHAMBERS,5616,6037,11653,48.19,51.81,0.4819
2000,ALABAMA,AL,01019,CHEROKEE,3497,4154,7651,45.71,54.29,0.4571
2000,ALABAMA,AL,01021,CHILTON,4806,10066,14872,32.32,67.68,0.3232
2000,ALABAMA,AL,01023,CHOCTAW,3707,3600,7307,50.73,49.27,0.5073
2000,ALABAMA,AL,01025,CLARKE,4679,5988,10667,43.86,56.14,0.4386
2000,ALABAMA,AL,01027,CLAY,2045,3719,5764,35.48,64.52,0.3548
2000,ALABAMA,AL,01029,CLEBURNE,1664,3333,4997,33.3,66.7,0.333
2000,ALABAMA,AL,01031,COFFEE,5220,9938,15158,34.44,65.56,0.3444
2000,ALABAMA,AL,01033,COLBERT,10543,10518,21061,50.06,49.94,0.5006
2000,ALABAMA,AL,01035,CONECUH,2783,2699,5482,50.77,49.23,0.5077
2000,ALABAMA,AL,01037,COOSA,2104,2382,4486,46.9,53.1,0.469
2000,ALABAMA,AL,01039,COVINGTON,4440,8961,13401,33.13,66.87,0.3313
2000,ALABAMA,AL,01041,CRENSHAW,1934,2793,4727,40.91,59.09,0.4091
2000,ALABAMA,AL,01043,CULLMAN,9758,19157,28915,33.75,66.25,0.3375
2000,ALABAMA,AL,01045,DALE,4906,10593,15499,31.65,68.35,0.3165
2000,ALABAMA,AL,01047,DALLAS,10967,7360,18327,59.84,40.16,0.5984
2000,ALABAMA,AL,01049,DEKALB,7056,12827,19883,35.49,64.51,0.3549
2000,ALABAMA,AL,01051,ELMORE,6652,16777,23429,28.39,71.61,0.2839
2000,ALABAMA,AL,01053,ESCAMBIA,4523,6975,11498,39.34,60.66,0.3934
2000,ALABAMA,AL,01055,ETOWAH,17433,21087,38520,45.26,54.74,0.4526
2000,ALABAMA,AL,01057,FAYETTE,3064,4582,7646,40.07,59.93,0.4007
2000,ALABAMA,AL,01059,FRANKLIN,4793,6119,10912,43.92,56.08,0.4392
2000,ALABAMA,AL,01061,GENEVA,2769,6588,9357,29.59,70.41,0.2959
2000,ALABAMA,AL,01063,GREENE,3504,850,4354,80.48,19.52,0.8048
2000,ALABAMA,AL,01065,HALE,4652,2984,7636,60.92,39.08,0.6092
2000,ALABAMA,AL,01067,HENRY,2782,4054,6836,40.7,59.3,0.407
2000,ALABAMA,AL,01069,HOUSTON,9412,22150,31562,29.82,70.18,0.2982
2000,ALABAMA,AL,01071,JACKSON,9066,8475,17541,51.68,48.32,0.5168
2000,ALABAMA,AL,01073,JEFFERSON,129889,138491,268380,48.4,51.6,0.484
2000,ALABAMA,AL,01075,LAMAR,2653,4470,7123,37.25,62.75,0.3725
2000,ALABAMA,AL,01077,LAUDERDALE,13875,17478,31353,44.25,55.75,0.4425
2000,ALABAMA,AL,01079,LAWRENCE,6296,5671,11967,52.61,47.39,0.5261
2000,ALABAMA,AL,01081,LEE,14574,22433,37007,39.38,60.62,0.3938
2000,ALABAMA,AL,01083,LIMESTONE,8992,14204,23196,38.77,61.23,0.3877
2000,ALABAMA,AL,01085,LOWNDES,4557,1638,6195,73.56,26.44,0.7356
2000,ALABAMA,AL,01087,MACON,7665,1091,8756,87.54,12.46,0.8754
2000,ALABAMA,AL,01089,MADISON,48199,62151,110350,43.68,56.32,0.4368
2000,ALABAMA,AL,01091,MARENGO,4841,4690,9531,50.79,49.21,0.5079
2000,ALABAMA,AL,01093,MARION,4600,6910,11510,39.97,60.03,0.3997
2000,ALABAMA,AL,01095,MARSHALL,10381,17084,27465,37.8,62.2,0.378
2000,ALABAMA,AL,01097,MOBILE,58640,78162,136802,42.86,57.14,0.4286
2000,ALABAMA,AL,01099,MONROE,3741,5153,8894,42.06,57.94,0.4206
2000,ALABAMA,AL,01101,MONTGOMERY,40371,38827,79198,50.97,49.03,0.5097
2000,ALABAMA,AL,01103,MORGAN,16060,25774,41834,38.39,61.61,0.3839
2000,ALABAMA,AL,01105,PERRY,4020,1732,5752,69.89,30.11,0.6989
2000,ALABAMA,AL,01107,PICKENS,4143,4306,8449,49.04,50.96,0.4904
2000,ALABAMA,AL,01109,PIKE,4357,6058,10415,41.83,58.17,0.4183
2000,ALABAMA,AL,01111,RANDOLPH,3094,4666,7760,39.87,60.13,0.3987
2000,ALABAMA,AL,01113,RUSSELL,8396,6198,14594,57.53,42.47,0.5753
2000,ALABAMA,AL,01115,ST. CLAIR,6485,17117,23602,27.48,72.52,0.2748
2000,ALABAMA,AL,01117,SHELBY,13183,47651,60834,21.67,78.33,0.2167
2000,ALABAMA,AL,01119,SUMTER,4415,1629,6044,73.05,26.95,0.7305
2000,ALABAMA,AL,01121,TALLADEGA,11264,13807,25071,44.93,55.07,0.4493
2000,ALABAMA,AL,01123,TALLAPOOSA,6183,9805,15988,38.67,61.33,0.3867
2000,ALABAMA,AL,01125,TUSCALOOSA,24614,34003,58617,41.99,58.01,0.4199
2000,ALABAMA,AL,01127,WALKER,11621,13486,25107,46.29,53.71,0.4629
2000,ALABAMA,AL,01129,WASHINGTON,3386,4117,7503,45.13,54.87,0.4513
2000,ALABAMA,AL,01131,WILCOX,3444,1661,5105,67.46,32.54,0.6746
2000,ALABAMA,AL,01133,WINSTON,2692,6413,9105,29.57,70.43,0.2957
