state,year,dem_votes,gop_votes,total_votes,dem_two_party_share,dem_seats,gop_seats,total_seats,dem_seat_share
AK,1976,34194,83722,117916,29.0,0,1,1,0.0
AK,1978,55176,68811,123987,44.5,0,1,1,0.0
AK,1980,39922,114089,154011,25.92,0,1,1,0.0
AK,1982,52011,128274,180285,28.85,0,1,1,0.0
AK,1984,86052,113582,199634,43.1,0,1,1,0.0
AK,1986,74053,101799,175852,42.11,0,1,1,0.0
AK,1988,71881,120595,192476,37.35,0,1,1,0.0
AK,1990,91677,99003,190680,48.08,0,1,1,0.0
AK,1992,102378,111849,214227,47.79,0,1,1,0.0
AK,1994,68172,118537,186709,36.51,0,1,1,0.0
AK,1996,85114,138834,223948,38.01,0,1,1,0.0
AK,1998,77232,139676,216908,35.61,0,1,1,0.0
AK,2000,45372,190862,236234,19.21,0,1,1,0.0
AK,2002,39357,169685,209042,18.83,0,1,1,0.0
AK,2004,67074,213216,280290,23.93,0,1,1,0.0
AK,2006,93879,132743,226622,41.43,0,1,1,0.0
AK,2008,142560,158939,301499,47.28,0,1,1,0.0
AK,2010,77606,175384,252990,30.68,0,1,1,0.0
AK,2012,82927,185296,268223,30.92,0,1,1,0.0
AK,2014,114602,142572,257174,44.56,0,1,1,0.0
AK,2016,111019,155088,266107,41.72,0,1,1,0.0
AK,2018,131199,149779,280978,46.69,0,1,1,0.0
AK,2020,159856,192126,351982,45.42,0,1,1,0.0
AK,2022,128553,129379,257932,49.84,1,0,1,100.0
AK,2024,156245,159550,315795,49.48,0,1,1,0.0
AL,1976,667052,314970,982022,67.93,4,3,7,57.14
AL,1978,439564,197176,636740,69.03,4,3,7,57.14
AL,1980,628133,354224,982357,63.94,4,3,7,57.14
AL,1982,676584,272510,949094,71.29,5,2,7,71.43
AL,1984,821773,308182,1129955,72.73,5,2,7,71.43
AL,1986,678716,436357,1115073,60.87,5,2,7,71.43
AL,1988,722200,432232,1154432,62.56,5,2,7,71.43
AL,1990,689987,314735,1004722,68.67,5,2,7,71.43
